#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:46:10.204
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2 V
#Channel 2: Range: 1 V/div Offset: -2 V
#Our λ: Function: C1/5*(1.36-0.65)+0.65
#Their λ: Function: C2/5*(1.36-0.68)+0.68
#Difference λ: Function: M2 -M1 

Time (s),Channel 1 (V),Channel 2 (V),Our λ (λ),Their λ (λ),Difference λ (λ)
-5.02125,2.34152,2.14198,0.982496,0.971309,-0.0111869
-5.02,2.33789,2.14198,0.98198,0.971309,-0.0106705
-5.01875,2.34152,2.14198,0.982496,0.971309,-0.0111869
-5.0175,2.34152,2.14198,0.982496,0.971309,-0.0111869
-5.01625,2.34152,2.14198,0.982496,0.971309,-0.0111869
-5.015,2.34152,2.14198,0.982496,0.971309,-0.0111869
-5.01375,2.34152,2.14198,0.982496,0.971309,-0.0111869
-5.0125,2.34152,2.14198,0.982496,0.971309,-0.0111869
-5.01125,2.34152,2.12354,0.982496,0.968802,-0.013694
-5.01,2.34152,2.07193,0.982496,0.961782,-0.0207138
-5.00875,2.34152,2.05349,0.982496,0.959275,-0.0232209
-5.0075,2.34152,2.04981,0.982496,0.958774,-0.0237223
-5.00625,2.34152,2.04612,0.982496,0.958272,-0.0242238
-5.005,2.34152,2.04612,0.982496,0.958272,-0.0242238
-5.00375,2.33789,2.04612,0.98198,0.958272,-0.0237074
-5.0025,2.33425,2.04612,0.981463,0.958272,-0.023191
-5.00125,2.33425,2.04612,0.981463,0.958272,-0.023191
-5,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.99875,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.9975,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.99625,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.995,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.99375,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.9925,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.99125,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.99,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.98875,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.9875,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.98625,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.985,2.33425,2.04612,0.981463,0.958272,-0.023191
-4.98375,2.33061,2.04612,0.980947,0.958272,-0.0226747
-4.9825,2.33061,2.04612,0.980947,0.958272,-0.0226747
-4.98125,2.3197,2.04612,0.979398,0.958272,-0.0211256
-4.98,2.3197,2.04612,0.979398,0.958272,-0.0211256
-4.97875,2.3197,2.04612,0.979398,0.958272,-0.0211256
-4.9775,2.3197,2.04612,0.979398,0.958272,-0.0211256
-4.97625,2.3197,2.04612,0.979398,0.958272,-0.0211256
-4.975,2.3197,2.04612,0.979398,0.958272,-0.0211256
-4.97375,2.3197,2.04612,0.979398,0.958272,-0.0211256
-4.9725,2.3197,2.04612,0.979398,0.958272,-0.0211256
-4.97125,2.30516,2.04612,0.977332,0.958272,-0.0190601
-4.97,2.27607,2.04612,0.973201,0.958272,-0.0149292
-4.96875,2.27607,2.04612,0.973201,0.958272,-0.0149292
-4.9675,2.27607,2.04612,0.973201,0.958272,-0.0149292
-4.96625,2.27607,2.04612,0.973201,0.958272,-0.0149292
-4.965,2.27607,2.04612,0.973201,0.958272,-0.0149292
-4.96375,2.27607,2.04612,0.973201,0.958272,-0.0149292
-4.9625,2.27607,2.04612,0.973201,0.958272,-0.0149292
-4.96125,2.27607,2.04612,0.973201,0.958272,-0.0149292
-4.96,2.25061,2.04612,0.969587,0.958272,-0.0113146
-4.95875,2.22879,2.04612,0.966489,0.958272,-0.0082164
-4.9575,2.22879,2.04612,0.966489,0.958272,-0.0082164
-4.95625,2.22879,2.04612,0.966489,0.958272,-0.0082164
-4.955,2.22879,2.04612,0.966489,0.958272,-0.0082164
-4.95375,2.22879,2.04612,0.966489,0.958272,-0.0082164
-4.9525,2.22879,2.04612,0.966489,0.958272,-0.0082164
-4.95125,2.22879,2.31158,0.966489,0.994374,0.0278858
